Year,period,code,carrier,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2011,6,B6,JetBlue Airways,366,93,29,2,32,0,30,3,1,6453,2157,204,1798,4,2289
2011,6,DL,Delta Air Lines Inc.,525,106,32,5,36,0,33,6,2,6410,2087,481,1729,2,2111
2011,6,UA,United Air Lines Inc.,396,93,23,2,30,0,38,7,1,6617,1704,181,1658,1,3074
2011,6,WN,Southwest Airlines Co.,1397,261,74,8,37,1,141,8,3,13470,3407,622,1628,42,7770
2011,7,AA,American Airlines Inc.,591,118,45,6,31,0,36,12,2,6888,2718,415,1418,1,2336
2011,7,B6,JetBlue Airways,391,98,32,2,32,0,32,2,1,6180,2202,172,1613,7,2186
2011,7,DL,Delta Air Lines Inc.,553,105,32,5,34,0,34,5,1,6490,2106,421,1665,2,2297
2011,7,UA,United Air Lines Inc.,404,97,23,2,28,0,44,10,1,6557,1585,191,1413,0,3368
2011,7,WN,Southwest Airlines Co.,1422,219,61,9,36,0,113,8,4,12010,3002,683,1670,15,6640
2011,8,AA,American Airlines Inc.,586,119,43,7,33,0,35,20,2,7105,2660,500,1576,6,2363
2011,8,B6,JetBlue Airways,390,121,36,3,37,0,45,27,2,9396,2692,408,2389,8,3899
2011,8,DL,Delta Air Lines Inc.,542,83,27,3,28,0,25,10,2,4942,1781,251,1292,1,1617
2011,8,UA,United Air Lines Inc.,410,80,20,2,27,0,31,10,1,4996,1275,216,1334,1,2170
2011,8,WN,Southwest Airlines Co.,1394,210,58,8,34,1,109,18,3,11306,2771,620,1665,27,6223
2011,9,AA,American Airlines Inc.,545,90,33,4,30,0,23,4,2,5075,2030,323,1238,2,1482
2011,9,B6,JetBlue Airways,339,74,21,1,31,0,21,1,1,4364,1362,56,1513,5,1428
2011,9,DL,Delta Air Lines Inc.,477,55,16,1,23,0,14,1,1,2777,1033,74,867,1,802
2011,9,UA,United Air Lines Inc.,363,62,14,1,29,0,17,2,0,3099,844,90,1139,0,1026
2011,9,WN,Southwest Airlines Co.,1292,190,51,6,33,1,100,9,3,9567,2328,447,1368,29,5395
2011,10,AA,American Airlines Inc.,577,92,34,3,33,0,24,3,2,4645,1954,191,1167,3,1330
2011,10,B6,JetBlue Airways,364,82,23,1,33,0,24,2,1,4843,1492,139,1576,8,1628
2011,10,DL,Delta Air Lines Inc.,519,52,17,1,22,0,13,2,1,2472,1019,49,726,2,677
2011,10,UA,United Air Lines Inc.,369,62,15,1,28,0,18,2,0,3085,882,59,1035,0,1108
2011,10,WN,Southwest Airlines Co.,1350,168,49,4,28,1,86,9,2,7816,2180,285,1066,21,4263
2011,11,AA,American Airlines Inc.,532,93,30,2,38,0,21,2,1,4559,1774,119,1450,0,1215
2011,11,B6,JetBlue Airways,374,51,17,0,19,0,15,0,1,2640,935,14,787,3,901
2011,11,DL,Delta Air Lines Inc.,480,52,16,1,22,0,13,1,1,2434,958,35,739,1,701
2011,11,UA,United Air Lines Inc.,333,54,13,0,24,0,17,2,1,2747,702,13,997,0,1035
2011,11,WN,Southwest Airlines Co.,1269,137,40,4,23,1,68,7,2,6137,1845,217,852,21,3201
2011,12,AA,American Airlines Inc.,529,88,33,4,29,0,22,3,1,4324,1957,179,993,0,1195
2011,12,B6,JetBlue Airways,386,60,22,0,19,0,19,1,1,3435,1224,28,905,5,1273
2011,12,DL,Delta Air Lines Inc.,471,53,17,1,21,0,15,1,1,2716,1056,53,770,1,837
2011,12,UA,United Air Lines Inc.,338,51,16,1,19,0,16,2,0,2683,932,57,698,0,996
2011,12,WN,Southwest Airlines Co.,1308,160,48,4,29,1,78,5,1,7151,2077,253,1082,20,3719
2012,1,AA,American Airlines Inc.,533,77,28,4,28,0,18,9,1,3886,1663,205,1023,5,991
2012,1,B6,JetBlue Airways,364,67,22,0,22,0,21,1,1,3564,1320,21,880,3,1341
2012,1,DL,Delta Air Lines Inc.,447,57,16,2,24,0,15,3,1,2928,1055,129,862,1,882
2012,1,UA,United Air Lines Inc.,497,82,23,2,35,0,21,6,1,4494,1332,228,1405,0,1528
2012,1,WN,Southwest Airlines Co.,1264,140,40,5,31,0,64,14,2,7039,1914,415,1279,11,3419
2012,2,AA,American Airlines Inc.,510,65,24,1,23,0,16,6,1,3285,1460,88,778,2,957
2012,2,B6,JetBlue Airways,354,54,19,0,19,0,16,0,0,2636,1066,5,696,3,866
2012,2,DL,Delta Air Lines Inc.,434,42,13,1,17,0,11,1,0,2142,920,64,538,3,617
2012,2,UA,United Air Lines Inc.,475,73,21,1,30,0,20,4,1,3549,1085,62,1120,6,1276
2012,2,WN,Southwest Airlines Co.,1195,118,37,3,23,1,54,12,1,5191,1714,180,789,13,2494
2012,3,AA,American Airlines Inc.,569,104,29,5,36,0,33,9,2,5951,1782,342,1428,3,2396
2012,3,B6,JetBlue Airways,403,78,27,0,25,0,25,1,0,4097,1647,25,897,3,1525
2012,3,DL,Delta Air Lines Inc.,488,68,21,1,26,0,20,1,1,3378,1312,97,847,1,1121
2012,3,UA,United Air Lines Inc.,538,117,39,2,43,0,33,3,1,5843,1940,117,1693,0,2093
2012,3,WN,Southwest Airlines Co.,1350,192,56,5,38,1,92,7,2,8935,2553,408,1390,17,4567
2012,4,AA,American Airlines Inc.,534,78,23,6,24,0,25,20,2,4842,1361,569,904,2,2007
2012,4,B6,JetBlue Airways,390,51,20,0,14,0,16,0,0,2666,1209,28,518,4,907
2012,4,DL,Delta Air Lines Inc.,483,42,15,0,16,0,12,1,1,2181,1040,33,472,1,635
