NCode,Year,Month,difference,Carrier_delay,Weather_delay,NAS_delay,Security_delay,Late_aircraft_delay,inc_dec
2,2015,5,781530,1549,341,1102,2,1293,Increase
2,2016,5,732217,1689,148,735,3,1006,Increase
2,2017,5,247930,2060,147,2027,3,1811,Increase
2,2018,5,286368,1850,320,1485,7,1272,Increase
2,2010,6,4172837,3051,386,2120,2,2766,Increase
2,2011,6,134960,2087,481,1729,2,2111,Increase
2,2012,6,276225,1609,173,997,1,1341,Increase
2,2013,6,314458,2586,471,2154,4,2335,Increase
2,2014,6,756982,1942,310,1577,1,1655,Increase
2,2015,6,914283,1895,537,1498,3,1839,Increase
2,2016,6,440326,2058,406,1381,3,2021,Increase
2,2017,6,286956,2107,316,1819,6,1862,Increase
2,2018,6,524062,2587,772,1847,4,2629,Increase
2,2010,7,4092628,3519,420,2259,5,3295,Increase
2,2011,7,426533,2106,421,1665,2,2297,Increase
2,2012,7,21848,2106,406,1859,2,2228,Increase
2,2013,7,358998,3106,401,2357,1,2782,Increase
2,2014,7,839112,1703,287,1174,1,1166,Increase
2,2015,7,937009,1796,304,1270,3,1604,Increase
2,2016,7,129926,2694,628,2224,2,2573,Increase
2,2017,7,467611,2402,363,1764,15,1905,Increase
2,2018,7,672989,2062,579,2066,3,2361,Increase
2,2010,8,3987517,2324,217,1778,1,2081,Increase
2,2011,8,287001,1781,251,1292,1,1617,Increase
2,2012,8,452546,1732,138,1368,1,1661,Increase
2,2013,8,356210,1829,128,1037,1,1212,Increase
2,2014,8,796082,1872,416,1201,2,1320,Increase
2,2015,8,872232,1733,359,1154,2,1480,Increase
2,2016,8,-375980,4494,250,1494,11,3084,Decrease
2,2017,8,1130114,1642,154,1126,6,1182,Increase
2,2018,8,674764,2116,450,2084,5,2248,Increase
2,2010,9,3554266,1483,93,1380,1,1273,Increase
2,2011,9,167822,1033,74,867,1,802,Increase
2,2012,9,198838,1072,35,720,1,746,Increase
2,2013,9,323874,1093,52,654,1,570,Increase
2,2014,9,883938,1233,135,1000,3,842,Increase
