ID,Airline,ACode,NCode,Year,Month,DOM_Flights,INT_Flights,TOT_Flights,DOM_Passengers,INT_Passengers,TOT_Passengers
534,United Air Lines,UA,5,2013,6,43326,14053,57379,5835043,2296608,8131651
533,United Air Lines,UA,5,2013,5,42916,13561,56477,5618696,2091661,7710357
532,United Air Lines,UA,5,2013,4,41144,13393,54537,5263228,1978337,7241565
531,United Air Lines,UA,5,2013,3,43624,13905,57529,5704496,2127732,7832228
530,United Air Lines,UA,5,2013,2,37435,11511,48946,4686091,1604832,6290923
529,United Air Lines,UA,5,2013,1,40335,12973,53308,4954097,1890855,6844952
528,United Air Lines,UA,5,2012,12,41814,12480,54294,5246744,1902127,7148871
507,United Air Lines,UA,5,2011,3,27359,5053,32412,3449670,811046,4260716
526,United Air Lines,UA,5,2012,10,42550,11489,54039,5510934,1749224,7260158
540,United Air Lines,UA,5,2013,12,41074,12548,53622,5505093,1971843,7476936
524,United Air Lines,UA,5,2012,8,47361,14224,61585,6284718,2276932,8561650
523,United Air Lines,UA,5,2012,7,47403,15160,62563,6326084,2439653,8765737
522,United Air Lines,UA,5,2012,6,46479,14148,60627,6185279,2257790,8443069
521,United Air Lines,UA,5,2012,5,45115,13843,58958,5908966,2087875,7996841
520,United Air Lines,UA,5,2012,4,44170,13675,57845,5757600,2034449,7792049
519,United Air Lines,UA,5,2012,3,46149,14525,60674,5952082,2119321,8071403
518,United Air Lines,UA,5,2012,2,40632,12589,53221,4919282,1676303,6595585
517,United Air Lines,UA,5,2012,1,41370,13434,54804,4984089,1901259,6885348
516,United Air Lines,UA,5,2011,12,23895,4688,28583,3047322,826777,3874099
515,United Air Lines,UA,5,2011,11,22893,4204,27097,2952856,737461,3690317
514,United Air Lines,UA,5,2011,10,25040,4672,29712,3269782,832614,4102396
513,United Air Lines,UA,5,2011,9,24571,4629,29200,3171710,857955,4029665
512,United Air Lines,UA,5,2011,8,28180,5051,33231,3715505,959619,4675124
527,United Air Lines,UA,5,2012,11,40882,11056,51938,5204739,1676868,6881607
584,United Air Lines,UA,5,2017,8,53531,14762,68293,7404363,2555410,9959773
543,United Air Lines,UA,5,2014,3,42232,14895,57127,5645416,2222298,7867714
545,United Air Lines,UA,5,2014,5,42239,14022,56261,5676534,2219737,7896271
